,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
989,True,0.28,0.14,0.09,False,True,427.24,744.52,0.47,6.0,1.42,0.28
994,False,0.19,0.0,0.28,False,False,364.4,402.42,0.52,6.0,5.79,0.47
999,False,0.09,0.07,0.21,False,False,351.95,763.22,0.07,7.0,9.45,0.49
1004,True,0.19,0.26,0.07,False,False,392.57,594.66,0.68,4.0,2.89,0.59
1009,True,0.04,0.15,0.26,False,False,341.61,215.97,0.07,5.0,6.89,0.15
1014,False,0.48,0.15,0.22,False,False,421.36,716.64,0.33,4.0,7.67,0.26
1019,True,0.1,0.47,0.21,False,False,298.62,415.11,1.06,3.0,5.92,0.62
1024,False,0.16,0.34,0.31,False,False,368.93,598.73,0.67,4.0,12.59,0.39
1029,False,0.11,0.22,0.29,False,False,325.01,948.17,0.11,6.0,6.84,0.8
1034,True,0.36,0.33,0.22,True,False,560.3,844.52,0.33,7.0,6.55,0.54
1039,False,0.05,0.05,0.38,False,False,237.68,328.29,0.62,4.0,7.55,0.19
1044,True,0.66,0.24,0.05,True,False,677.27,1321.83,1.04,6.0,1.76,0.47
1049,True,0.24,0.37,0.17,False,False,406.83,657.84,0.91,6.0,5.38,0.57
1054,False,0.17,0.24,0.3,False,True,371.6,717.5,1.08,6.0,8.68,0.47
1059,True,0.35,0.15,0.21,False,False,469.02,972.48,0.29,6.0,8.76,0.64
1064,False,0.18,0.0,0.35,False,False,397.04,842.26,0.73,6.0,13.54,0.29
1069,False,0.2,0.2,0.27,False,False,374.27,777.95,0.86,4.0,8.13,0.63
1074,True,0.23,0.37,0.17,False,False,490.64,709.83,0.8,6.0,5.15,0.23
1079,True,0.45,0.3,0.33,False,False,449.24,1220.41,0.57,4.0,11.87,0.48
1084,False,0.3,0.15,0.24,False,False,398.11,882.59,0.9,4.0,9.62,0.54
1091,True,0.13,0.07,0.1,False,False,437.51,472.87,0.6,8.0,3.38,0.76
1094,False,0.07,0.1,0.23,False,False,331.84,373.57,0.27,6.0,5.97,0.53
1099,False,0.0,0.0,0.55,False,False,213.42,358.65,0.12,3.0,7.88,0.37
1104,True,0.55,0.06,0.0,False,False,487.14,496.8,0.8,7.0,0.0,0.18
1109,True,0.28,0.12,0.28,False,False,451.6,829.01,0.08,7.0,9.18,0.43
1114,False,0.2,0.08,0.32,False,False,383.64,901.69,0.83,5.0,9.62,0.28
1119,False,0.22,0.09,0.22,True,False,457.2,787.03,0.43,6.0,4.16,0.77
1124,True,0.46,0.15,0.22,False,False,562.25,756.18,0.06,7.0,6.81,0.74
1129,True,0.25,0.22,0.13,False,True,508.44,612.69,0.6,7.0,3.05,0.22
1134,False,0.19,0.03,0.22,False,False,394.32,671.73,0.63,5.0,7.27,0.25
1139,True,0.22,0.16,0.25,False,False,412.61,449.17,0.31,5.0,9.23,0.63
1144,False,0.53,0.16,0.19,False,False,524.21,1274.29,0.81,5.0,5.19,0.5
1149,True,0.15,0.21,0.12,False,False,364.05,599.12,1.21,6.0,4.24,0.64
1154,False,0.18,0.15,0.12,False,False,336.55,499.94,1.15,5.0,3.66,0.54
1159,True,0.08,0.16,0.25,False,False,391.85,591.87,1.29,6.0,8.78,0.69
1164,False,0.22,0.22,0.16,False,False,396.13,546.99,0.19,5.0,5.87,0.85
1169,False,0.0,0.05,0.25,False,False,352.57,231.18,0.87,8.0,7.23,0.36
1174,True,0.2,0.15,0.05,False,False,480.85,747.73,0.76,8.0,0.71,0.36
1179,False,0.07,0.07,0.21,False,False,278.15,715.52,0.99,4.0,6.37,0.42
1184,True,0.32,0.21,0.14,True,False,447.19,493.88,0.81,6.0,2.64,0.56
1189,False,0.0,0.05,0.35,False,False,247.73,85.56,0.2,5.0,9.04,0.25
1194,True,0.25,0.2,0.1,False,False,425.91,347.32,0.61,6.0,3.18,0.4
1199,False,0.09,0.05,0.18,False,True,251.01,362.35,0.18,4.0,4.78,0.46
1204,True,0.05,0.14,0.14,False,False,387.05,409.0,0.6,6.0,2.16,0.28
1209,False,0.1,0.03,0.29,False,False,326.77,377.52,0.13,5.0,7.88,0.42
1214,True,0.26,0.35,0.16,False,False,360.65,737.18,0.77,5.0,4.71,0.9
1219,True,0.1,0.24,0.05,False,False,373.11,655.83,1.55,6.0,1.46,0.29
