,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
56114,False,0.05,0.19,0.28,False,False,236.99,354.18,0.84,1.0,4.74,1.16
56119,True,0.46,0.33,0.19,False,False,454.0,986.01,1.16,2.0,4.6,1.35
56124,True,0.0,0.64,0.19,False,False,282.09,270.17,0.89,1.0,5.64,1.91
56129,False,0.03,0.51,0.29,False,False,238.37,277.34,1.56,1.0,5.9,1.21
56134,False,0.14,0.25,0.08,False,False,270.0,330.35,0.76,1.0,1.14,1.47
56139,True,0.11,0.41,0.11,False,False,260.08,337.03,1.39,1.0,3.38,1.61
56144,False,0.06,0.18,0.2,False,False,242.05,488.35,1.2,2.0,6.0,2.19
56149,True,0.06,0.35,0.06,False,True,272.55,222.24,0.67,1.0,2.11,2.31
56154,True,0.08,0.46,0.19,False,False,325.46,312.73,1.7,2.0,4.36,1.97
56159,False,0.12,0.08,0.15,True,False,247.84,186.96,0.85,1.0,4.51,1.16
56164,True,0.0,0.43,0.17,False,False,236.64,170.2,0.83,1.0,4.2,1.8
56169,False,0.1,0.2,0.2,False,False,261.13,259.29,1.7,1.0,4.87,2.04
56174,True,0.21,0.32,0.18,False,False,344.26,806.64,0.92,2.0,4.9,2.58
56179,False,0.18,0.55,0.18,False,True,335.12,597.47,0.74,1.0,5.66,1.34
56184,False,0.05,0.36,0.14,False,False,257.03,208.78,0.43,1.0,4.12,2.85
56189,True,0.05,0.68,0.12,False,False,247.87,144.39,0.27,0.0,3.69,1.28
56194,True,0.1,0.24,0.15,False,False,282.96,249.61,1.07,1.0,4.2,1.17
56199,False,0.05,0.24,0.34,False,False,256.1,246.68,0.39,1.0,7.81,0.73
56204,False,0.0,0.27,0.07,False,False,233.54,187.17,1.59,1.0,2.42,2.09
56209,True,0.0,0.2,0.13,False,False,213.26,119.99,0.56,0.0,2.49,2.25
56214,False,0.08,0.31,0.31,False,False,258.22,631.65,1.09,1.0,11.42,2.3
56219,True,0.13,0.54,0.23,False,False,332.22,504.65,0.83,1.0,8.97,2.02
